"","source","Organization/Person Name","Organization/Person Name URL","Investor Type","Number of Investments","Number of Exits","Location","Description","Investment Stage","Number of Portfolio Organizations","Number of Partner Investments","Number of Lead Investments","Number of Diversity Investments","Number of Exits (IPO)","Accelerator Program Type","Accelerator Next Application Deadline","Accelerator Duration (in weeks)","Trend Score (90 Days)","Trend Score (30 Days)","Trend Score (7 Days)","CB Rank (Investor)","SEMrush - Monthly Visits","SEMrush - Average Visits (6 months)","SEMrush - Monthly Visits Growth","SEMrush - Visit Duration","SEMrush - Visit Duration Growth","SEMrush - Page Views / Visit","SEMrush - Page Views / Visit Growth","SEMrush - Bounce Rate","SEMrush - Bounce Rate Growth","Apptopia - Number of Apps","Apptopia - Downloads Last 30 Days","BuiltWith - Active Tech Count","G2 Stack - Total Products Active","IPqwery - Patents Granted","IPqwery - Trademarks Registered","IPqwery - Most Popular Patent Class","IPqwery - Most Popular Trademark Class","Aberdeen - IT Spend","Aberdeen - IT Spend Currency","Aberdeen - IT Spend Currency (in USD)"
"1","INVESTORS/investors-2021-11-26 (1).csv","Internet Initiatives Development Fund (IIDF)","https://www.crunchbase.com/organization/internet-initiatives-develompent-fund-iidf","Accelerator, Venture Capital",455,2,"Moscow, Moscow City, Russian Federation","Internet Initiatives Development Fund is a venture fund that creates infrastructure and conditions for Russia-based businesses.","Early Stage Venture, Seed",431,NA,60,2,2,"On-Site",2019-03-01,NA,7.2,5.8,-0.3,3750,144400,101976.17,"38.42%",494,"-0.2%",1.98,"-2.93%","58.21%","13.34%",NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
"2","INVESTORS/investors-2021-11-26 (1).csv","IndieBio","https://www.crunchbase.com/organization/synbio-axlr8r","Accelerator",308,2,"San Francisco, California, United States","IndieBio is the largest biotech startup accelerator, run by SOSV.","Seed",173,NA,8,71,2,"On-Site",2019-02-07,16,-1.6,1.9,6.1,500,30796,13699.33,"25.01%",58,"-91.37%",1.5,"-36.23%","81.92%","117.18%",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"3","INVESTORS/investors-2021-11-26 (1).csv","Antler","https://www.crunchbase.com/organization/antler-be9c","Accelerator, Incubator, Venture Capital",281,2,"Singapore, Central Region, Singapore","Antler is a global early-stage venture capital firm that invests in the defining technology companies of tomorrow.","Early Stage Venture, Seed, Venture",236,NA,156,8,2,"On-Site",NA,26,0.8,-0.2,-0.2,6,62302,59018.83,"0.07%",277,"99.28%",1.44,"-3.01%","75.48%","7.25%",NA,NA,62,NA,0,1,NA,"Insurance; financial affairs",NA,NA,NA
"4","INVESTORS/investors-2021-11-26 (1).csv","Village Global","https://www.crunchbase.com/organization/village-global-2","Accelerator, Micro VC, Venture Capital",197,2,"San Francisco, California, United States","Village Global is an early stage venture capital firm and accelerator backed by some of the world's most successful entrepreneurs.","Early Stage Venture, Seed",165,NA,41,40,2,NA,2021-08-10,10,-1.6,2.5,0,596,61517,47975.17,"204.68%",457,"361.62%",3.3,"46.87%","42.15%","-17.56%",NA,NA,68,NA,0,4,NA,"Insurance; financial affairs",NA,NA,NA
"5","INVESTORS/investors-2021-11-26 (1).csv","Backstage Capital","https://www.crunchbase.com/organization/backstage-capital","Micro VC, Venture Capital",137,2,"West Hollywood, California, United States","Backstage Capital is a venture capital fund that invests in new companies led by underrepresented founders.","Early Stage Venture, Seed",135,NA,25,105,2,NA,NA,NA,1.5,3.9,5.3,4549,43965,27547.33,"188.92%",169,"-60.79%",1.7,"-20.38%","69.13%","36.38%",NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"6","INVESTORS/investors-2021-11-26 (1).csv","Fil Rouge Capital (FRC)","https://www.crunchbase.com/organization/fil-rouge-capital-frc","Micro VC, Venture Capital",132,2,"Zagreb, Grad Zagreb, Croatia","Fil Rouge Capital (FRC) is a private investment company that invests in early stage businesses.","Seed, Venture",104,NA,40,1,2,NA,NA,NA,-0.8,-0.5,-0.3,5499,816,976.67,"2,105.41%",144,"657.89%",2.32,"-22.83%","37.62%","16%",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"7","INVESTORS/investors-2021-11-26 (1).csv","InnoEnergy","https://www.crunchbase.com/organization/kic-innoenergy","Accelerator, Micro VC, Venture Capital",128,2,"Eindhoven, Noord-Brabant, The Netherlands","InnoEnergy is the innovation engine for sustainable energy across Europe.","Early Stage Venture, Seed",96,NA,34,NA,2,"On-Site",2020-03-07,5,-0.1,2.4,4.1,2327,43420,39376.17,"30.12%",896,"229.41%",4.17,"71.51%","50.89%","-4.22%",NA,NA,43,95,0,17,NA,"Education; entertainment",NA,NA,NA
"8","INVESTORS/investors-2021-11-26 (1).csv","Baidu Ventures","https://www.crunchbase.com/organization/baidu-ventures","Venture Capital",125,2,"Beijing, Beijing, China","Baidu Ventures aims to back artificial intelligence, virtual reality, and augmented reality projects.","Early Stage Venture, Venture",95,NA,39,12,2,NA,NA,NA,5.1,3.4,4.3,3394,4332,NA,NA,0,NA,1,NA,"100%",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"9","INVESTORS/investors-2021-11-26 (1).csv","Vision Plus Capital","https://www.crunchbase.com/organization/vision-plus","Venture Capital",125,2,"Hangzhou, Zhejiang, China","Vision Plus Capital is a venture capital that focuses and provide multi-faceted help to internet innovation start-ups.",NA,81,NA,36,NA,2,NA,NA,NA,4,-0.2,0.8,11839,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,6,NA,NA,NA,NA,NA,NA,NA
"10","INVESTORS/investors-2021-11-26 (1).csv","AF Ventures","https://www.crunchbase.com/organization/accelfoods","Venture Capital",106,2,"New York, New York, United States","AF Ventures invests in visionary founders building authentic, next-generation consumer brands driving omnichannel innovation.","Convertible Note, Early Stage Venture, Seed, Venture",55,NA,31,36,2,NA,NA,NA,-0.8,0.3,-0.1,8234,2021,4040.17,"45.71%",4,"-94.12%",1.07,"-45.41%","92.78%","2,477.22%",NA,NA,8,NA,0,1,NA,"Education; entertainment",NA,NA,NA
